KODE MENU,,,STANDAR PORSI,,
KODE,JENIS MENU,NAMA MENU,RINCIAN BAHAN UTAMA,PORSI KECIL,PORSI BESAR
1111,Karbohidrat (Nasi),Nasi Putih (Beras Premium),Nasi Premium,100,180
1112,Karbohidrat (Nasi),Nasi Putih (Beras),Nasi,100,180
1113,Karbohidrat (Nasi),Nasi Daun Jeruk (Beras Premium),Nasi Premium,100,180
1114,Karbohidrat (Nasi),Nasi Daun Jeruk (Beras),Nasi,100,180
1115,Karbohidrat (Nasi),Nasi Liwet (Beras Premium),Nasi Premium,100,180
1116,Karbohidrat (Nasi),Nasi Liwet (Beras),Nasi,100,180
1117,Karbohidrat (Nasi),Nasi Kuning (Beras Premium),Nasi Premium,100,180
1118,Karbohidrat (Nasi),Nasi Kuning (Beras),Nasi,100,180
1119,Karbohidrat (Nasi),Nasi Uduk (Beras Premium),Nasi Premium,100,180
1120,Karbohidrat (Nasi),Nasi Uduk (Beras),Nasi,100,180
2111,Lauk Hewani (Ayam Potong),Ayam Kremes,Ayam Potong,48.3,58
2112,Lauk Hewani (Ayam Potong),Ayam Kecap,Ayam Potong,48.3,58
2113,Lauk Hewani (Ayam Potong),Ayam Woku Kuning,Ayam Potong,48.3,58
2114,Lauk Hewani (Ayam Potong),Kari Ayam Kental,Ayam Potong,48.3,58
2115,Lauk Hewani (Ayam Potong),Ayam Serundeng,Ayam Potong,48.3,58
2116,Lauk Hewani (Ayam Potong),Ayam Kentucky,Ayam Potong,48.3,48.3
2121,Lauk Hewani (Ayam Fillet),Ayam Fillet Saus Mentega,Ayam Fillet,50,65
2122,Lauk Hewani (Ayam Fillet),Ayam Fillet Saus Teriyaki,Ayam Fillet,50,65
2123,Lauk Hewani (Ayam Fillet),Ayam Fillet Saus Barbeque,Ayam Fillet,50,65
2124,Lauk Hewani (Ayam Fillet),Ayam Suwir Kecap,Ayam Fillet,50,65
2125,Lauk Hewani (Ayam Fillet),Ayam Suwir Kemangi Bumbu Kuning,Ayam Fillet,50,65
2126,Lauk Hewani (Ayam Fillet),Ayam Suwir Kemangi Bumbu Rica,Ayam Fillet,50,65
2211,Lauk Hewani (Telur Ayam),Telur Ceplok,Telur Ayam,63.6,63.6
2212,Lauk Hewani (Telur Ayam),Telur Dadar,Telur Ayam,63.6,63.6
2213,Lauk Hewani (Telur Ayam),Telur Dadar Padang,Telur Ayam,63.6,63.6
2214,Lauk Hewani (Telur Ayam),Semur Telur,Telur Ayam,63.6,63.6
2215,Lauk Hewani (Telur Ayam),Balado Telur,Telur Ayam,63.6,63.6
2311,Lauk Hewani (Daging Sapi),Beef Slice Barbeque,Daging Sapi,45,55
2312,Lauk Hewani (Daging Sapi),Krecek Daging,Daging Sapi,44.4,44.4
2313,Lauk Hewani (Daging Sapi),Rendang Daging,Daging Sapi,43.5,43.5
2314,Lauk Hewani (Daging Sapi),Semur Daging,Daging Sapi,43.5,43.5
2411,Lauk Hewani (Ikan),Pesmol Nila,Ikan Nila,88.9,88.9
