STANDAR RESEP,,,,,
JENIS MENU,NAMA MENU,BAHAN,KEBUTUHAN,SATUAN,RESEP PER
Karbohidrat (Nasi),Nasi Daun Jeruk (Beras Premium),Nasi Premium,50000,g,
Karbohidrat (Nasi),Nasi Daun Jeruk (Beras Premium),Bawang Putih Kupas,1000,g,
Karbohidrat (Nasi),Nasi Daun Jeruk (Beras Premium),Sereh,1,ikat,
Karbohidrat (Nasi),Nasi Daun Jeruk (Beras Premium),Daun Jeruk,500,g,
Karbohidrat (Nasi),Nasi Daun Jeruk (Beras Premium),Garam Refina @500g,,,
Karbohidrat (Nasi),Nasi Daun Jeruk (Beras Premium),Totole Kaldu Jamur Non Kolesterol @1kg,,,
Karbohidrat (Nasi),Nasi Daun Jeruk (Beras),Nasi,50000,g,
Karbohidrat (Nasi),Nasi Daun Jeruk (Beras),Bawang Putih Kupas,1000,g,
Karbohidrat (Nasi),Nasi Daun Jeruk (Beras),Sereh,1,ikat,
Karbohidrat (Nasi),Nasi Daun Jeruk (Beras),Daun Jeruk,500,g,
Karbohidrat (Nasi),Nasi Daun Jeruk (Beras),Garam Refina @500g,,,
Karbohidrat (Nasi),Nasi Daun Jeruk (Beras),Totole Kaldu Jamur Non Kolesterol @1kg,,,
Karbohidrat (Nasi),Nasi Kuning (Beras Premium),Nasi Premium,50000,g,
Karbohidrat (Nasi),Nasi Kuning (Beras Premium),Santan Kelapa Sun Kara @1liter,6000,ml,
Karbohidrat (Nasi),Nasi Kuning (Beras Premium),Bumbu Dasar Kuning,2000,g,
Karbohidrat (Nasi),Nasi Kuning (Beras Premium),Kunyit Giling,250,g,
Karbohidrat (Nasi),Nasi Kuning (Beras Premium),Ketumbar Bubuk,150,g,
Karbohidrat (Nasi),Nasi Kuning (Beras Premium),Daun Salam,1,ikat,
Karbohidrat (Nasi),Nasi Kuning (Beras Premium),Sereh,1,ikat,
Karbohidrat (Nasi),Nasi Kuning (Beras Premium),Garam Refina @500g,,,
Karbohidrat (Nasi),Nasi Kuning (Beras Premium),Gula Pasir,,,
Karbohidrat (Nasi),Nasi Kuning (Beras Premium),Totole Kaldu Jamur Non Kolesterol @1kg,,,
Karbohidrat (Nasi),Nasi Kuning (Beras),Nasi,50000,g,
Karbohidrat (Nasi),Nasi Kuning (Beras),Santan Kelapa Sun Kara @1liter,6000,ml,
Karbohidrat (Nasi),Nasi Kuning (Beras),Bumbu Dasar Kuning,2000,g,
Karbohidrat (Nasi),Nasi Kuning (Beras),Kunyit Giling,250,g,
Karbohidrat (Nasi),Nasi Kuning (Beras),Ketumbar Bubuk,150,g,
Karbohidrat (Nasi),Nasi Kuning (Beras),Daun Salam,1,ikat,
Karbohidrat (Nasi),Nasi Kuning (Beras),Sereh,1,ikat,
Karbohidrat (Nasi),Nasi Kuning (Beras),Garam Refina @500g,,,
Karbohidrat (Nasi),Nasi Kuning (Beras),Gula Pasir,,,
Karbohidrat (Nasi),Nasi Kuning (Beras),Totole Kaldu Jamur Non Kolesterol @1kg,,,
Karbohidrat (Nasi),Nasi Liwet (Beras Premium),Nasi Premium,50000,g,
Karbohidrat (Nasi),Nasi Liwet (Beras Premium),Bawang Merah Iris,1000,g,
Karbohidrat (Nasi),Nasi Liwet (Beras Premium),Bawang Putih Kupas,1000,g,
Karbohidrat (Nasi),Nasi Liwet (Beras Premium),Daun Salam,1,ikat,
Karbohidrat (Nasi),Nasi Liwet (Beras Premium),Sereh,1,ikat,
Karbohidrat (Nasi),Nasi Liwet (Beras Premium),Garam Refina @500g,,,
Karbohidrat (Nasi),Nasi Liwet (Beras Premium),Totole Kaldu Jamur Non Kolesterol @1kg,,,
Karbohidrat (Nasi),Nasi Liwet (Beras),Nasi,50000,g,
Karbohidrat (Nasi),Nasi Liwet (Beras),Bawang Merah Iris,1000,g,
